best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000183, 0.02471593, 0.09354550, 0.25604969, 0.38862598, 0.14054251, 0.22354615
00000195, 0.02792923, 0.09787394, 0.31117254, 0.43565884, 0.21958013, 0.28538916
00000186, 0.03947281, 0.10940331, 0.28313690, 0.41567367, 0.24095172, 0.27902508
00000194, 0.04787327, 0.11551047, 0.37355912, 0.48619872, 0.27574497, 0.31991616
00000195, 0.04828074, 0.12342008, 0.29825062, 0.41930994, 0.29899225, 0.31348267
00000001, nan, nan, 0.45326886, 0.54042417, 2.86054635, 1.66536248
00000001, nan, nan, 0.49828336, 0.57546276, 2.78521800, 1.64691961
00000001, nan, nan, 0.25234926, 0.40979218, 2.15653300, 1.43729210
00000001, nan, nan, 0.31132418, 0.45120311, 2.19152761, 1.45273578
00000001, nan, nan, 0.42105636, 0.50995058, 2.83508468, 1.65675068
00000001, nan, nan, 0.38060376, 0.48828962, 2.70176792, 1.61200964
00000001, nan, nan, 0.34216443, 0.46898660, 2.49057221, 1.54945672
00000001, nan, nan, 0.37698150, 0.50189936, 2.55490232, 1.57224500
00000001, nan, nan, 0.32538286, 0.46879449, 1.91837788, 1.36164868
00000199, 0.02717017, 0.08688140, 0.14643966, 0.29606459, 0.14236735, 0.23517036
00000199, 0.02961377, 0.09031086, 0.12615342, 0.26670969, 0.14623922, 0.24150465
00000199, 0.02963734, 0.08595632, 0.10249206, 0.25614834, 0.14042816, 0.23146313
00000199, 0.03288127, 0.09044485, 0.10775755, 0.25681785, 0.08596484, 0.19633619
00000199, 0.02893275, 0.08793183, 0.12635040, 0.29789209, 0.09102418, 0.19843352
00000075, 0.07672733, 0.18208311, 0.02406867, 0.11591784, 0.04641146, 0.15501097
00000199, 0.03391100, 0.10696409, 0.29854998, 0.43166420, 0.22314799, 0.27776599
00000197, 0.02745285, 0.08107644, 0.14697352, 0.31399658, 0.07651170, 0.18334617
00000199, 0.03106882, 0.08857672, 0.11254829, 0.25638807, 0.10596827, 0.20899205
